title,genres,director_cast,average_rating,description,cover_url
肖申克的救赎,犯罪|剧情,导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...,9.7,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
霸王别姬,剧情|爱情|同性,导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,9.6,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2911205318.jpg
阿甘正传,剧情|爱情,导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...,9.5,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2500944103.jpg
千与千寻,剧情|动画|奇幻,导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,9.4,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg
美丽人生,剧情|喜剧|爱情|战争,导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...,9.5,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg
星际穿越,剧情|科幻|冒险,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...,9.4,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg
楚门的世界,剧情|科幻,导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,9.4,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
辛德勒的名单,剧情|历史|战争,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...,9.5,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
忠犬八公的故事,剧情,导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...,9.4,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg
海上钢琴师,剧情|音乐,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...,9.3,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2914698334.jpg
疯狂动物城,喜剧|动画|冒险,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...,9.3,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2924128964.jpg
三傻大闹宝莱坞,剧情|喜剧|爱情|歌舞,导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...,9.2,暂无简介,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg
机器人总动员,科幻|动画|冒险,导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...,9.3,暂无简介,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg
放牛班的春天,剧情|音乐,导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 让-巴蒂斯特·莫尼...,9.3,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.jpg
无间道,剧情|犯罪|惊悚,导演: 刘伟强 / 麦兆辉   主演: 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,9.3,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2597979873.jpg
控方证人,剧情|犯罪|悬疑|惊悚,导演: 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power / 玛琳·...,9.6,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2927451337.jpg
寻梦环游记,喜剧|动画|奇幻|音乐,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina   主演: ...,9.1,暂无简介,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2505426431.jpg
大话西游之大圣娶亲,喜剧|爱情|奇幻|古装,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,9.2,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
熔炉,剧情,导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,9.3,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg
触不可及,剧情|喜剧,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,9.3,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg
教父,剧情|犯罪,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...,9.3,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg
末代皇帝,剧情|传记|历史,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...,9.3,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg
哈利·波特与魔法石,奇幻|冒险,导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint,9.2,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913781448.jpg
当幸福来敲门,剧情|传记|家庭,导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...,9.1,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg
龙猫,动画|奇幻|冒险,导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,9.2,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg
活着,剧情|历史|家庭,导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,9.3,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.jpg
怦然心动,剧情|喜剧|爱情,导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,9.1,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg
蝙蝠侠：黑暗骑士,剧情|动作|科幻|犯罪|惊悚,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...,9.2,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg
指环王3：王者无敌,剧情|动作|奇幻|冒险,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,9.3,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg
我不是药神,剧情|喜剧,导演: 文牧野 Muye Wen   主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,9.0,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2527119568.jpg
乱世佳人,剧情|历史|爱情|战争,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 费...,9.3,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg
飞屋环游记,剧情|喜剧|动画|冒险,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...,9.1,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553594918.jpg
让子弹飞,剧情|喜剧|动作|西部,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,9.0,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg
哈尔的移动城堡,爱情|动画|奇幻|冒险,导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...,9.1,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2907583906.jpg
十二怒汉,剧情,导演: 西德尼·吕美特 Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁...,9.4,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg
海蒂和爷爷,剧情|冒险|家庭,导演: 阿兰·葛斯彭纳 Alain Gsponer   主演: 阿努克·斯特芬 Anuk Steffen /...,9.3,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg
